year,State_CountyFIPS,ui_pc,unemp_rate,state_name,county_name,lpop
2011,1003,.091075778,8.5690212,xlabama,Baldwln,12.164355
2012,1003,.089273728,9.0721426,Alybama,Bsldwin,12.15186
2003,1003,.019832684,6.910264,Alasama,"Baldwin County,jAL",11.930909
2005,1003,.019533848,5.89642,Alabamk,"oaldwin County, AL",12.014051
1997,1003,.010682757,5.2445254,AL,paldwin,11.758759
2009,1003,.13878611,4.8105335,Alabaea,Baldwin,12.147219
2000,1003,.098028645,3.3749416,Alabama,"Balawin County, Alabama",11.862266
2001,1003,.039326441,5.522058,flabama,"Baldwin County,uAL",11.876878
2008,1003,.028540092,6.090951,Alabamh,Bmldwin,12.119
2010,1003,.096679486,8.9868908,Alamama,Babdwin,12.140966
1995,1003,,5.6110287,Alabami,Babdwin,11.717035
2007,1003,.052629929,3.2823844,klabama,"Baldwin County, Au",12.081339
2002,1003,.18060325,5.9034243,Alabama,Baldwin Countyx AL,11.975915
2004,1003,.013652665,6.6586132,Alaoama,Balrwin,11.971514
1999,1003,.043372456,4.6061201,Alatama,"Baldzin County, AL",11.849523
1996,1003,.036279414,4.7044845,Alabamx,"Baldwin County, Alabaca",11.711966
1998,1003,.026315017,4.4655099,Alabasa,"Bxldwin County, AL",11.846479
2006,1003,.014269804,6.6390581,Alauama,"Baldwin Counto, AL",12.054418
2012,1015,.05004875,10.310761,Alabxma,Calnoun,11.756068
2007,1015,.018182624,4.0262589,slabama,"Calhoun zounty, Alabama",11.695987
2006,1015,.0061058672,4.5218449,Alarama,"Calhoun lounty, AL",11.66589
2000,1015,.11246272,5.9969783,AL,Caohoun,11.690732
2004,1015,.004256987,5.9721446,Alcbama,"Cglhoun County, AL",11.682464
2003,1015,.053399909,6.9298892,Alaoama,Calhdun,11.680854
1995,1015,,7.8757653,Alabvma,Calhjun,11.696642
2002,1015,.10408735,5.6598415,Alabamq,"Calgoun County, AL",11.664515
2010,1015,.16862261,9.5348787,Atabama,"Calvoun County, AL",11.720277
2005,1015,.014265195,5.8262897,AL,Calhlun,11.659235
2009,1015,.057381574,6.0323277,Albbama,yalhoun,11.682227
2001,1015,.096872307,5.1445599,Alabamd,"Calhoun County, Alabama",11.690628
2008,1015,.051768575,4.0022845,hlabama,palhoun,11.6817
1997,1015,.032618821,6.2759652,Alamama,jalhoun,11.759184
1996,1015,.063746259,7.8003788,Aeabama,"Cawhoun County, Alabama",11.712029
1998,1015,.002274005,5.5633483,Alabama,Calhoen,11.707973
2011,1015,.077641688,11.201981,Alalama,Calhoub,11.743222
1999,1015,.090513177,4.8116951,wlabama,Caleoun,11.739229
2002,1055,.26756608,6.7137327,Alybama,"EtowahiCounty, AL",11.587754
2006,1055,.020825118,6.0110846,Alabala,Etowmh,11.643449
2012,1055,.071864635,10.013217,Acabama,"Etowxh County, AL",11.555716
2000,1055,.58311892,6.9595032,Alababa,"Etowah uounty, Alabama",11.605692
1995,1055,,7.4115095,AL,Etogah,11.620514
2004,1055,.0096026799,7.7973742,AL,Etooah,11.575438
1999,1055,.53695363,5.1335702,Amabama,"Etowah County, Alabkma",11.587099
1997,1055,.1759485,5.4176059,Alabaka,"Etowah Counwy, Alabama",11.571336
2008,1055,.0021130086,4.7061028,Alabrma,Etowah Countyw AL,11.617763
2003,1055,.084164187,6.4112229,tlabama,"Etowah County,nAlabama",11.565995
2005,1055,.040936969,6.7370963,AL,Etowzh,11.590004
2001,1055,.0098244166,6.7583685,Alabaza,Etolah,11.582508
2007,1055,.031002771,4.2247491,Alapama,Etowah Countyn AL,11.644515
2010,1055,.22706498,10.569489,Alabala,"Etcwah County, AL",11.630136
2009,1055,.12981354,6.2702174,Auabama,"Etowah County,bAL",11.57842
2011,1055,.075025104,10.87704,dlabama,"EtowahbCounty, Alabama",11.593735
1998,1055,.027723026,6.5417671,Alxbama,"Etowdh County, AL",11.561671
1996,1055,.020384485,6.3432403,Alvbama,"Etowah Covnty, AL",11.594991
2011,1069,.17964196,9.0735588,Avabama,Hopston,11.565818
2003,1069,.024262611,4.848835,Alafama,Houstdn,11.495193
2002,1069,.20187084,4.3925357,Alabgma,"Houston Counny, AL",11.416116
2007,1069,.04521393,5.1178179,AL,Houstjn,11.484358
